"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",36.56
1,"Balaka",36.56
2,"Blantyre",32.57
3,"Blantyre",32.57
4,"Blantyre City",60.73
5,"Blantyre City",60.73
6,"Chikwawa",35.89
7,"Chikwawa",35.89
8,"Chiradzulu",30.75
9,"Chiradzulu",30.75
10,"Chitipa",36.04
11,"Chitipa",36.04
12,"Dedza",21.58
13,"Dedza",21.58
14,"Dowa",26.75
15,"Dowa",26.75
16,"Karonga",45.44
17,"Karonga",45.44
18,"Kasungu",24.02
19,"Kasungu",24.02
20,"Likoma",47.14
21,"Likoma",47.14
22,"Lilongwe",22.9
23,"Lilongwe",22.9
24,"Lilongwe City",55.52
25,"Lilongwe City",55.52
26,"Machinga",34.22
27,"Machinga",34.22
28,"Mangochi",30.71
29,"Mangochi",30.71
30,"Mchinji",25.45
31,"Mchinji",25.45
32,"Mulanje",29.74
33,"Mulanje",29.74
34,"Mwanza",37.63
35,"Mwanza",37.63
36,"Mzimba",42.1
37,"Mzimba",42.1
38,"Mzuzu City",62.34
39,"Mzuzu City",62.34
40,"Neno",35.04
41,"Neno",35.04
42,"Nkhata Bay",47.52
43,"Nkhata Bay",47.52
44,"Nkhotakota",30.2
45,"Nkhotakota",30.2
46,"Nsanje",41.65
47,"Nsanje",41.65
48,"Ntcheu",27.74
49,"Ntcheu",27.74
50,"Ntchisi",30.44
51,"Ntchisi",30.44
52,"Phalombe",27.2
53,"Phalombe",27.2
54,"Rumphi",57.84
55,"Rumphi",57.84
56,"Salima",31.93
57,"Salima",31.93
58,"Thyolo",30.68
59,"Thyolo",30.68
60,"Zomba",31.3
61,"Zomba",31.3
62,"Zomba City",52.52
63,"Zomba City",52.52
